9    25    
19    17    
3    5    
12    12    
22    18    
11    6    
20    14    
21    9    
26    3    
13    23    
15    18    
3    22    
16    12    
3    6    
25    10    
13    6    
7    17    
23    23    
22    7    
19    16    
10    2    
6    14    
16    27    
23    26    
14    20    
6    1    
10    9    
24    27    
21    27    
17    18    
21    3    
8    0    
20    4    
23    14    
27    5    
0    5    
19    1    
17    27    
11    3    
5    2    
27    13    
13    4    
12    2    
17    15    
17    9    
3    25    
8    27    
23    7    
16    8    
24    20    
9    13    
19    20    
17    22    
10    22    
8    21    
7    21    
9    3    
8    16    
20    25    
4    21    
19    7    
18    27    
18    26    
18    7    
11    15    
0    14    
8    13    
23    1    
18    14    
22    0    
17    14    
16    21    
12    4    
14    3    
12    17    
14    14    
27    16    
5    5    
2    16    
4    14    
2    7    
15    23    
21    22    
24    11    
8    2    
11    9    
17    12    
2    13    
16    1    
0    12    
2    26    
27    1    
14    4    
